Sport,Funding type,Funding amount
Boccia,WCP,3071203
Boccia,APA,708458
Boccia,Total,3779661
Disability Shooting,WCP,2076000
Disability Shooting,APA,423000
Disability Shooting,Total,2499000
Para-Archery,WCP,2719092
Para-Archery,APA,1037000
Para-Archery,Total,3756092
Para-Athletics,WCP,8937070
Para-Athletics,APA,3723667
Para-Athletics,Total,12660737
Para-Badminton,WCP,960000
Para-Badminton,APA,277500
Para-Badminton,Total,1237500
Para-Canoe,WCP,3017671
Para-Canoe,APA,862250
Para-Canoe,Total,3879921
Para-Cycling,WCP,5638328
Para-Cycling,APA,2456125
Para-Cycling,Total,8094453
Para-Equestrian Dressage,WCP,3294056
Para-Equestrian Dressage,APA,1067583
Para-Equestrian Dressage,Total,4361639
Para-Rowing,WCP,2614482
Para-Rowing,APA,1050083
Para-Rowing,Total,3664565
Para-Swimming,WCP,8846263
Para-Swimming,APA,2023333
Para-Swimming,Total,10869596
Para-Table Tennis,WCP,2726060
Para-Table Tennis,APA,913333
Para-Table Tennis,Total,3639593
Para-Taekwondo,WCP,435000
Para-Taekwondo,APA,84000
Para-Taekwondo,Total,519000
Para-Triathlon,WCP,2852775
Para-Triathlon,APA,907000
Para-Triathlon,Total,3759775
Powerlifting,WCP,1097075
Powerlifting,APA,218417
Powerlifting,Total,1315492
VI Judo,WCP,1968986
VI Judo,APA,72000
VI Judo,Total,2040986
Wheelchair Basketball,WCP,4603219
Wheelchair Basketball,APA,2595125
Wheelchair Basketball,Total,7198344
Wheelchair Fencing,WCP,637472
Wheelchair Fencing,APA,311750
Wheelchair Fencing,Total,949222
Wheelchair Rugby,WCP,50000
Wheelchair Rugby,APA,
Wheelchair Rugby,Total,50000
Wheelchair Tennis,WCP,
Wheelchair Tennis,APA,633250
Wheelchair Tennis,Total,633250
Total,WCP,55544752
Total,APA,19363874
Total,Total,74908626
